	Characidium_zebra	Pyrrhulina_australis	Hemigrammus_neptunus	Cyphocharax_gillii	Steindachnerina_brevipinna	Hoplias_malabaricus	Bryconops_melanurus	Acestrorhynchus_pantaneiro	Xenurobrycon_macropus	Piabarchus_torrenticola	Bryconamericus_exodon	Knodus_chapadae	Phenacogaster_jancupa	Phenacogaster_tegatus	Aphyocharax_dentatus	Serrapinnus_microdon	Odontostilbe_pequira	Serrapinnus_calliurus	Hyphessobrycon_herbertaxelrodi	Moenkhausia_oligolepis	Hyphessobrycon_eques	Astyanax_lineatus	Hemigrammus_machadoi	Gymnocorymbus_ternetzi	Poptella_paraguayensis	Jupiaba_acanthogaster	Psellogrammus_kennedyi	Astyanax_lacustris	Moenkhausia_bonita	Ituglanis_eichorniarum	Callichthys_callichthys	Corydoras_hastatus	Corydoras_aeneus	Corydoras_areio	Corydoras_polystictus	Rineloricaria_aurata	Farlowella_isbruckeri	Rineloricaria_lanceolata	Ancistrus_cuiabae	Hypostomus_boulengeri	Hypostomus_khimaera	Pterobunocephalus_depressus	Trachelyopterus_galeatus	Pimelodella_gracilis	Rhamdia_quelen	Imparfinis_stictonotus	Phenacorhamdia_hoehnei	Chaetobranchopsis_australis	Crenicichla_lepidota	Cichlasoma_dimerus	Bujurquina_vittata	Aequidens_plagiozonatus	Apistogramma_commbrae	Melanorivulus_zygonectes
Hemigrammus_machadoi	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	137.855082	137.855082	141.758945	141.758945	0	149.421637	149.421637	139.601015	139.601015	139.601015	139.601015	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Gymnocorymbus_ternetzi	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	137.855082	137.855082	141.758945	141.758945	149.421637	0	153.770572	139.601015	139.601015	139.601015	139.601015	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Poptella_paraguayensis	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	137.855082	137.855082	141.758945	141.758945	149.421637	153.770572	0	139.601015	139.601015	139.601015	139.601015	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Jupiaba_acanthogaster	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	137.855082	137.855082	139.601015	139.601015	139.601015	139.601015	139.601015	0	141.724816	141.724816	141.724816	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Psellogrammus_kennedyi	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	137.855082	137.855082	139.601015	139.601015	139.601015	139.601015	139.601015	141.724816	0	148.482324	148.482324	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Astyanax_lacustris	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	137.855082	137.855082	139.601015	139.601015	139.601015	139.601015	139.601015	141.724816	148.482324	0	157.134335	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Moenkhausia_bonita	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	137.855082	137.855082	139.601015	139.601015	139.601015	139.601015	139.601015	141.724816	148.482324	157.134335	0	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Ituglanis_eichorniarum	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	87.272323	87.272323	87.272323	87.272323	87.272323	87.272323	87.272323	87.272323	87.272323	87.272323	87.272323	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Callichthys_callichthys	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	0	111.485776	111.485776	111.485776	111.485776	91.28916	91.28916	91.28916	91.28916	91.28916	91.28916	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Corydoras_hastatus	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	111.485776	0	146.790517	146.790517	146.790517	91.28916	91.28916	91.28916	91.28916	91.28916	91.28916	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Corydoras_aeneus	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	111.485776	146.790517	0	161.043943	159.290144	91.28916	91.28916	91.28916	91.28916	91.28916	91.28916	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Corydoras_areio	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	111.485776	146.790517	161.043943	0	159.290144	91.28916	91.28916	91.28916	91.28916	91.28916	91.28916	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Corydoras_polystictus	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	111.485776	146.790517	159.290144	159.290144	0	91.28916	91.28916	91.28916	91.28916	91.28916	91.28916	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Rineloricaria_aurata	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	91.28916	91.28916	91.28916	91.28916	91.28916	0	126.223215	126.223215	126.223215	126.223215	126.223215	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Farlowella_isbruckeri	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	91.28916	91.28916	91.28916	91.28916	91.28916	126.223215	0	143.091768	134.885025	134.885025	134.885025	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Rineloricaria_lanceolata	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	91.28916	91.28916	91.28916	91.28916	91.28916	126.223215	143.091768	0	134.885025	134.885025	134.885025	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Ancistrus_cuiabae	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	91.28916	91.28916	91.28916	91.28916	91.28916	126.223215	134.885025	134.885025	0	147.999192	147.999192	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Hypostomus_boulengeri	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	91.28916	91.28916	91.28916	91.28916	91.28916	126.223215	134.885025	134.885025	147.999192	0	171.244674	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Hypostomus_khimaera	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	87.272323	91.28916	91.28916	91.28916	91.28916	91.28916	126.223215	134.885025	134.885025	147.999192	171.244674	0	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	0	0	0	0	0	0
Pterobunocephalus_depressus	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	0	108.69135	108.69135	103.836132	103.836132	103.836132	0	0	0	0	0	0	0
Trachelyopterus_galeatus	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	108.69135	0	126.202074	103.836132	103.836132	103.836132	0	0	0	0	0	0	0
Pimelodella_gracilis	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	108.69135	126.202074	0	103.836132	103.836132	103.836132	0	0	0	0	0	0	0
Rhamdia_quelen	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	103.836132	103.836132	103.836132	0	135.848577	111.045364	0	0	0	0	0	0	0
Imparfinis_stictonotus	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	103.836132	103.836132	103.836132	135.848577	0	111.045364	0	0	0	0	0	0	0
Phenacorhamdia_hoehnei	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	83.656714	103.836132	103.836132	103.836132	111.045364	111.045364	0	0	0	0	0	0	0	0
Chaetobranchopsis_australis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.301773	125.301773	125.301773	109.739499	109.739499	72.568589
